المصدر,العنوان,تاريخ_النشر,التاريخ,الوقت
Argaam,أرباح أسمنت المدينة 87.9 مليون ريال (+27 %) بنهاية النصف الأول 2025.. وأرباح الربع الثاني 36.4 مليون ريال (+31%),2025-07-28 13:07:47.523607600+00:00,2025-07-28,13:07:47.523607
Argaam,ارباح الماجد للعود 145.2 مليون ريال (+22%) بنهاية النصف الأول  2025.. وارباح الربع الثاني 24.3 مليون ريال (-56%),2025-07-28 13:22:54.788166200+00:00,2025-07-28,13:22:54.788166
Argaam,تغيرات كبار الملاك في السوق السعودي ليوم الخميس 24 يوليو (الجوف الزراعية - أنابيب - الكيميائية السعودية - كومل - الإنماء ريت للتجزئة - برج المعرفة),2025-07-28 19:07:31.034651100+00:00,2025-07-28,19:07:31.034651
Argaam,أرقام ترصد أهم المشاريع والتوسعات المتوقع تدشينها للشركات السعودية المدرجة خلال النصف الثاني من 2025,,,
Argaam,المطاحن الأولى لـ أرقام: نتوقع تحسناً تدريجياً في الطلب بالربع الثالث,,,
Argaam,أم القرى للتنمية والإعمار تبيع خمس قطع أراضٍ لـشركة محمد الحبيب العقارية,,,
Argaam,الدول التي تضم أكبر عدد من الأثرياء في العالم,,,
Argaam,بعد تجاوز التكاليف المقدرة .. هل أساء باول إدارة مشروع تجديد مقر الفيدرالي؟,,,
Argaam,هل تُباع السيارات الجديدة كـمستعملة في الصين؟,,,
Argaam,عندما تنجح الشركات بلا أرباح .. من يعيد تعريف مفهوم القيمة؟,,,
BBC News,The Caribbean islands that give you a passport if you buy a home,2025-07-28 00:37:19.459666900+00:00,2025-07-28,00:37:19.459666
BBC News,VPNs top App Store charts as UK age verification kick in,2025-07-28 12:52:15.319463600+00:00,2025-07-28,12:52:15.319463
BBC News,'Hardline' BMA blocks emergency pleas for strike doctors to work,2025-07-28 13:07:19.351633100+00:00,2025-07-28,13:07:19.351633
BBC News,"Paul Gallagher, brother of Oasis stars Liam and Noel Gallagher, charged with rape",2025-07-28 16:22:20.679023700+00:00,2025-07-28,16:22:20.679023
BBC News,Keir Starmer shares Europe-led Gaza peace plan with Donald Trump,2025-07-28 18:07:24.314121400+00:00,2025-07-28,18:07:24.314121
BBC News,Tracy Turner and Stuart Compton jailed for planning child rapes,2025-07-28 18:37:23.862146+00:00,2025-07-28,18:37:23.862146
BBC News,Donald Trump: Vladimir Putin must agree Ukraine ceasefire in days,2025-07-28 18:52:20.440722700+00:00,2025-07-28,18:52:20.440722
BBC News,Southwark: Two dead and two in hospital after attack at business,2025-07-28 18:52:27.579570600+00:00,2025-07-28,18:52:27.579570
BBC News,Lionesses welcomed home by jubilant fans after Euro 2025 win,2025-07-28 19:07:24.159030200+00:00,2025-07-28,19:07:24.159030
BBC News,Suspect in Maguiresbridge triple murder dies,2025-07-28 20:07:20.908844900+00:00,2025-07-28,20:07:20.908844
CNN,CNN Headlines | CNN,2025-06-30 20:25:47.801000+00:00,2025-06-30,20:25:47.801000
CNN,‘It’s a type of torture’: Hear what it’s like inside ‘Alligator Alcatraz’ | CNN Politics,2025-07-25 13:22:19.588000+00:00,2025-07-25,13:22:19.588000
CNN,Russians can now fly to North Korea. South Koreans still can’t. | CNN,2025-07-28 09:05:17.658000+00:00,2025-07-28,09:05:17.658000
CNN,Texas man pleads guilty to stalking WNBA star Caitlin Clark and gets 2 1/2 years in prison,,,
CNN,"SNAP changes, how to slow cognitive decline, topless visitors face fines: Catch up on the day’s stories",,,
CNN,2 children killed after a barge collides with a sailboat in Miami,,,
CNN,Trump administration launches investigation into Duke University and Duke Law Journal,,,
CNN,French resort town cracks down on ‘half-naked’ visitors,,,
CNN,Trump’s megabill may force your local grocery store to close,,,
CNN,Brutal punishments are being meted out to Russian soldiers no longer willing to fight for Putin,,,
