CustomerID,Age,Nationality,LoanAmount,LoanGuarantee,TransactionAmount,Date,AccountType_Savings,TransactionType_Transfer,TransactionType_Withdrawal,DayOfWeek,AgeGroup
1,30.0,Egyptian,50000.0,1,10000.0,2023-01-01,True,False,False,Sunday,Middle-aged
2,45.0,Saudi,120000.0,0,5000.0,2023-01-01,False,False,True,Sunday,Senior
3,22.0,Egyptian,30000.0,1,2000.0,2023-01-02,True,True,False,Monday,Young
4,60.0,Kuwaiti,80000.0,0,15000.0,2023-01-02,False,False,False,Monday,Senior
5,35.0,Egyptian,70000.0,1,3000.0,2023-01-03,True,False,True,Tuesday,Middle-aged
6,28.0,Saudi,70769.23076923077,0,7384.615384615385,2023-01-03,False,False,False,Tuesday,Middle-aged
7,50.0,Egyptian,90000.0,1,7000.0,2023-01-04,True,True,False,Wednesday,Senior
8,45.333333333333336,Kuwaiti,100000.0,0,20000.0,2023-01-04,False,False,False,Wednesday,Senior
9,40.0,Egyptian,60000.0,1,4000.0,2023-01-05,True,False,True,Thursday,Middle-aged
10,30.0,Egyptian,50000.0,1,10000.0,2023-01-01,True,False,False,Sunday,Middle-aged
11,25.0,Syrian,40000.0,0,2500.0,2023-01-05,False,True,False,Thursday,Middle-aged
12,55.0,Jordanian,70769.23076923077,1,8000.0,2023-01-06,True,False,False,Friday,Senior
13,33.0,Egyptian,65000.0,0,3500.0,2023-01-06,False,False,True,Friday,Middle-aged
14,48.0,Saudi,110000.0,1,6000.0,2023-01-07,True,True,False,Saturday,Senior
15,29.0,Egyptian,55000.0,0,7384.615384615385,2023-01-07,False,False,False,Saturday,Middle-aged
