المدينة,التاريخ,درجة_الحرارة_العظمى_مئوية,درجة_الحرارة_الصغرى_مئوية,حالة_الطقس
القاهرة,2025-07-24,38.7,24.9,سماء صافية
القاهرة,2025-07-25,39.9,23.1,غائم جزئياً، غائم كلياً، وغائم
القاهرة,2025-07-26,40.4,26.2,غائم جزئياً، غائم كلياً، وغائم
القاهرة,2025-07-27,41.5,26.2,غائم جزئياً، غائم كلياً، وغائم
القاهرة,2025-07-28,39.1,24.9,غائم جزئياً، غائم كلياً، وغائم
القاهرة,2025-07-29,38.4,25.7,غائم جزئياً، غائم كلياً، وغائم
القاهرة,2025-07-30,35.9,24.2,غائم جزئياً، غائم كلياً، وغائم
بكين,2025-07-24,31.3,25.4,عاصفة رعدية مع برد خفيف وكثيف
بكين,2025-07-25,31.5,26.0,عاصفة رعدية مع برد خفيف وكثيف
بكين,2025-07-26,33.5,26.8,زخات مطر
بكين,2025-07-27,33.5,26.7,عاصفة رعدية مع برد خفيف وكثيف
بكين,2025-07-28,32.0,25.6,عاصفة رعدية مع برد خفيف وكثيف
بكين,2025-07-29,32.2,24.3,عاصفة رعدية
بكين,2025-07-30,33.7,24.0,غائم جزئياً، غائم كلياً، وغائم
دبي,2025-07-24,34.2,32.0,غائم جزئياً، غائم كلياً، وغائم
دبي,2025-07-25,37.6,33.2,غائم جزئياً، غائم كلياً، وغائم
دبي,2025-07-26,37.1,34.2,غائم جزئياً، غائم كلياً، وغائم
دبي,2025-07-27,35.8,33.7,غائم جزئياً، غائم كلياً، وغائم
دبي,2025-07-28,38.3,33.5,غائم جزئياً، غائم كلياً، وغائم
دبي,2025-07-29,38.0,33.8,غائم جزئياً، غائم كلياً، وغائم
دبي,2025-07-30,34.9,33.8,غائم جزئياً، غائم كلياً، وغائم
ريو دي جانيرو,2025-07-24,24.0,16.7,ضباب وضباب صقيعي
ريو دي جانيرو,2025-07-25,23.5,18.0,زخات مطر
ريو دي جانيرو,2025-07-26,25.4,16.9,ضباب وضباب صقيعي
ريو دي جانيرو,2025-07-27,30.3,16.7,ضباب وضباب صقيعي
ريو دي جانيرو,2025-07-28,31.8,21.2,غائم جزئياً، غائم كلياً، وغائم
ريو دي جانيرو,2025-07-29,22.5,17.6,غائم جزئياً، غائم كلياً، وغائم
ريو دي جانيرو,2025-07-30,22.0,13.9,غائم جزئياً، غائم كلياً، وغائم
سيدني,2025-07-24,15.8,0.2,ضباب وضباب صقيعي
سيدني,2025-07-25,16.3,-0.0,ضباب وضباب صقيعي
سيدني,2025-07-26,18.0,9.0,مطر
سيدني,2025-07-27,16.9,10.0,غائم جزئياً، غائم كلياً، وغائم
سيدني,2025-07-28,16.5,9.0,غائم جزئياً، غائم كلياً، وغائم
سيدني,2025-07-29,16.4,6.9,غائم جزئياً، غائم كلياً، وغائم
سيدني,2025-07-30,10.9,8.3,زخات مطر
طوكيو,2025-07-24,33.3,23.5,غائم جزئياً، غائم كلياً، وغائم
طوكيو,2025-07-25,33.8,24.0,غائم جزئياً، غائم كلياً، وغائم
طوكيو,2025-07-26,34.2,24.5,غائم جزئياً، غائم كلياً، وغائم
طوكيو,2025-07-27,33.5,24.5,غائم جزئياً، غائم كلياً، وغائم
طوكيو,2025-07-28,33.5,23.7,غائم جزئياً، غائم كلياً، وغائم
طوكيو,2025-07-29,34.3,23.0,غائم جزئياً، غائم كلياً، وغائم
طوكيو,2025-07-30,32.3,22.5,غائم جزئياً، غائم كلياً، وغائم
كيب تاون,2025-07-24,16.4,15.2,زخات مطر
كيب تاون,2025-07-25,15.4,13.3,زخات مطر
كيب تاون,2025-07-26,14.8,13.3,غائم جزئياً، غائم كلياً، وغائم
كيب تاون,2025-07-27,17.9,13.5,سماء صافية
كيب تاون,2025-07-28,20.8,14.6,غائم جزئياً، غائم كلياً، وغائم
كيب تاون,2025-07-29,23.6,15.0,غائم جزئياً، غائم كلياً، وغائم
كيب تاون,2025-07-30,15.3,14.5,زخات مطر
لندن,2025-07-24,19.4,16.1,زخات مطر
لندن,2025-07-25,25.9,16.5,مطر
لندن,2025-07-26,23.1,16.9,زخات مطر
لندن,2025-07-27,20.1,15.6,زخات مطر
لندن,2025-07-28,23.4,15.1,زخات مطر
لندن,2025-07-29,19.9,15.6,غائم جزئياً، غائم كلياً، وغائم
لندن,2025-07-30,22.8,17.5,زخات مطر
موسكو,2025-07-24,26.0,17.4,زخات مطر
موسكو,2025-07-25,28.8,17.7,غائم جزئياً، غائم كلياً، وغائم
موسكو,2025-07-26,26.6,14.3,سماء صافية
موسكو,2025-07-27,28.1,14.5,غائم جزئياً، غائم كلياً، وغائم
موسكو,2025-07-28,28.9,16.5,غائم جزئياً، غائم كلياً، وغائم
موسكو,2025-07-29,30.0,17.2,ضباب وضباب صقيعي
موسكو,2025-07-30,29.4,18.9,غائم جزئياً، غائم كلياً، وغائم
نيويورك,2025-07-24,30.4,20.5,غائم جزئياً، غائم كلياً، وغائم
نيويورك,2025-07-25,35.9,24.3,زخات مطر
نيويورك,2025-07-26,29.8,23.5,غائم جزئياً، غائم كلياً، وغائم
نيويورك,2025-07-27,30.3,22.6,رذاذ
نيويورك,2025-07-28,35.6,23.9,غائم جزئياً، غائم كلياً، وغائم
نيويورك,2025-07-29,36.3,24.6,عاصفة رعدية
نيويورك,2025-07-30,36.1,24.5,غائم جزئياً، غائم كلياً، وغائم
