Date,Product,Sales,Region,Customer_Age
2024-01-01,USB Drive,39.56,South,40
2024-01-01,Headphones,72.11,South,46
2024-01-01,Laptop,1423.05,Central,50
2024-01-01,Mouse,22.02,South,46
2024-01-01,Keyboard,87.74,East,42
2024-01-02,External HDD,21.57,Central,38
2024-01-02,Speaker,45.02,West,42
2024-01-02,Webcam,33.09,South,43
2024-01-02,Mouse,39.55,Central,63
2024-01-02,USB Drive,53.4,West,62
2024-01-03,Printer,41.09,Central,27
2024-01-03,External HDD,36.25,North,49
2024-01-03,Headphones,74.89,Central,66
2024-01-03,Webcam,77.0,Central,30
2024-01-03,Webcam,58.05,East,51
2024-01-04,External HDD,58.03,East,27
2024-01-04,Speaker,39.23,North,23
2024-01-04,Mouse,84.18,North,36
2024-01-04,Laptop,1392.0,West,19
2024-01-04,Webcam,77.36,East,68
2024-01-05,Mouse,84.6,East,34
2024-01-05,Keyboard,51.16,Central,67
2024-01-05,Laptop,1545.27,Central,59
2024-01-05,Monitor,344.15,East,68
2024-01-05,Monitor,325.72,South,26
2024-01-06,Webcam,54.0,Central,61
2024-01-06,Monitor,229.93,Central,63
2024-01-06,Printer,67.83,South,61
2024-01-06,Headphones,20.72,South,28
2024-01-06,Headphones,42.29,South,65
2024-01-07,Laptop,1077.22,North,32
2024-01-07,Speaker,85.33,North,25
2024-01-07,Laptop,1078.10,East,20
2024-01-07,Printer,57.34,East,33
2024-01-07,Printer,51.66,South,46
2024-01-08,Monitor,374.76,East,44
2024-01-08,Printer,86.69,West,56
2024-01-08,USB Drive,43.66,East,42
2024-01-08,Monitor,364.07,East,18
2024-01-08,Mouse,54.09,North,69
2024-01-09,Webcam,46.71,South,21
2024-01-09,Monitor,359.12,Central,56
2024-01-09,External HDD,89.22,East,60
2024-01-09,Headphones,44.11,East,30
2024-01-09,Mouse,48.97,North,64
2024-01-10,Laptop,1597.86,North,62
2024-01-10,Laptop,1314.14,North,24
2024-01-10,External HDD,56.74,South,30
2024-01-10,Mouse,69.03,South,55
2024-01-10,USB Drive,47.09,South,33
2024-01-11,USB Drive,76.66,South,30
2024-01-11,External HDD,68.8,Central,19
2024-01-11,Speaker,94.76,North,23
2024-01-11,Webcam,99.08,North,57
2024-01-11,Webcam,78.25,West,32
2024-01-12,Mouse,99.09,North,36
2024-01-12,USB Drive,50.1,North,66
2024-01-12,Printer,30.28,North,45
2024-01-12,Laptop,1942.42,Central,43
2024-01-12,Monitor,401.99,Central,50
2024-01-13,Webcam,75.37,South,62
2024-01-13,Mouse,98.83,East,50
2024-01-13,Mouse,,South,69
2024-01-13,Headphones,44.76,West,45
2024-01-13,Monitor,401.31,North,63
2024-01-14,External HDD,80.72,East,18
2024-01-14,Speaker,57.84,West,62
2024-01-14,Monitor,360.98,West,27
2024-01-14,Laptop,1934.79,North,34
2024-01-14,Headphones,88.8,Central,59
2024-01-15,Printer,64.16,East,31
2024-01-15,Laptop,1168.79,North,67
2024-01-15,Speaker,70.2,West,61
2024-01-15,Speaker,,North,48
2024-01-15,Monitor,422.27,West,60
2024-01-16,Headphones,50.29,North,48
2024-01-16,Speaker,54.56,Central,39
2024-01-16,Printer,66.75,South,46
2024-01-16,Headphones,75.11,Central,64
2024-01-16,Laptop,1735.57,South,41
2024-01-17,Speaker,96.23,South,30
2024-01-17,Keyboard,86.05,West,63
2024-01-17,Laptop,1566.17,East,46
2024-01-17,Laptop,1447.66,East,42
2024-01-17,Mouse,34.34,South,22
2024-01-18,Webcam,23.16,North,48
2024-01-18,External HDD,,North,52
2024-01-18,Webcam,40.81,North,22
2024-01-18,Laptop,1844.22,South,69
2024-01-18,Headphones,64.41,Central,46
2024-01-19,Webcam,49.72,East,58
2024-01-19,Keyboard,71.03,South,66
2024-01-19,Webcam,85.83,South,41
2024-01-19,Printer,83.58,Central,64
2024-01-19,Mouse,59.51,South,36
2024-01-20,Monitor,372.01,West,47
2024-01-20,External HDD,31.8,North,26
2024-01-20,Keyboard,84.74,West,67
2024-01-20,Monitor,202.9,North,54
2024-01-20,Laptop,926.59,South,51
2024-01-21,Webcam,52.38,East,65
2024-01-21,Keyboard,25.91,East,32
2024-01-21,Keyboard,85.09,West,41
2024-01-21,Keyboard,83.75,North,38
2024-01-21,Speaker,36.55,South,65
2024-01-22,Monitor,387.98,North,53
2024-01-22,External HDD,33.09,South,21
2024-01-22,USB Drive,34.96,North,50
2024-01-22,Mouse,45.1,West,63
